Simulation finished in 11.5530 seconds for 200 steps.
Final counts: Predators=50, Prey=440
         3046810 function calls in 12.426 seconds

   Ordered by: cumulative time
   List reduced from 68 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.889    0.889   12.426   12.426 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/profile_sim.py:66(run_simulation)
    98510    6.308    0.000    7.397    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Brain_Neural_Network.py:75(forward_vectorized)
    88510    0.459    0.000    6.160    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Animals.py:119(move)
    10000    0.082    0.000    1.900    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Animals.py:42(move)
    98520    0.726    0.000    0.875    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/profile_sim.py:56(query)
      500    0.008    0.000    0.858    0.002 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Brain_Neural_Network.py:35(__init__)
     7400    0.244    0.000    0.848    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Brain_Neural_Network.py:95(mutate)
    10000    0.434    0.000    0.690    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Animals.py:29(get_inputs)
      450    0.002    0.000    0.551    0.001 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Animals.py:83(__init__)
    98530    0.280    0.000    0.471    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/profile_sim.py:50(insert)
    88520    0.422    0.000    0.422    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Animals.py:91(get_inputs)
    98510    0.195    0.000    0.359    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Brain_Neural_Network.py:29(actSpeed)
       50    0.000    0.000    0.311    0.006 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Animals.py:21(__init__)
   357737    0.301    0.000    0.301    0.000 {built-in method math.tanh}
   160717    0.135    0.000    0.291    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Brain_Neural_Network.py:26(actFunc)
   197050    0.272    0.000    0.272    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/profile_sim.py:47(_hash)
    55714    0.093    0.000    0.263    0.000 /usr/local/Cellar/python@3.13/3.13.7/Frameworks/Python.framework/Versions/3.13/lib/python3.13/random.py:345(choice)
   106302    0.228    0.000    0.228    0.000 {built-in method numpy.zeros}
     2264    0.033    0.000    0.185    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Brain_Neural_Network.py:50(add_neuron)
    98510    0.125    0.000    0.178    0.000 /Users/toschka/Python/Projektwerkstatt/PredatorPray2or1/module/Brain_Neural_Network.py:31(actAngle)


